0,suspicious_char_path,len_path,top_tld,suspicious_word_domain,num_special_char_domain,https_protocol,num_slash,num_dots,url_length,is_threat_threat
,0.0,7.0,0.0,0.0,0.0,0.0,3.0,4.0,33.0,True
,0.0,46.0,0.0,0.0,0.0,0.0,3.0,3.0,46.0,True
,0.0,45.0,0.0,0.0,0.0,0.0,5.0,2.0,45.0,True
,1.0,164.0,0.0,0.0,0.0,0.0,1.0,15.0,164.0,False
,0.0,32.0,0.0,0.0,0.0,0.0,3.0,2.0,32.0,True
,0.0,41.0,0.0,0.0,0.0,0.0,1.0,2.0,41.0,True
,0.0,117.0,0.0,0.0,0.0,0.0,4.0,3.0,117.0,False
,0.0,34.0,0.0,0.0,0.0,0.0,3.0,3.0,34.0,True
,1.0,35.0,0.0,0.0,0.0,0.0,3.0,4.0,35.0,False
,0.0,37.0,0.0,0.0,0.0,0.0,1.0,2.0,37.0,True
,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,True
,1.0,105.0,0.0,0.0,0.0,0.0,6.0,6.0,296.0,False
,0.0,10.0,1.0,0.0,0.0,0.0,3.0,2.0,72.0,True
,0.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,False
,0.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,True
,0.0,68.0,0.0,0.0,0.0,0.0,3.0,5.0,68.0,False
,0.0,39.0,0.0,0.0,0.0,0.0,2.0,3.0,39.0,True
,0.0,64.0,0.0,0.0,0.0,0.0,2.0,1.0,64.0,True
,0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,False
,0.0,39.0,0.0,0.0,0.0,0.0,2.0,1.0,39.0,False
,0.0,43.0,0.0,0.0,0.0,0.0,1.0,3.0,52.0,False
,0.0,58.0,0.0,0.0,0.0,0.0,5.0,3.0,58.0,True
,0.0,10.0,1.0,0.0,0.0,0.0,3.0,4.0,122.0,True
,0.0,21.0,0.0,0.0,0.0,0.0,2.0,2.0,76.0,False
,0.0,78.0,0.0,0.0,0.0,0.0,3.0,1.0,78.0,True
,0.0,40.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,False
,0.0,81.0,0.0,0.0,0.0,0.0,5.0,4.0,81.0,True
,0.0,83.0,0.0,0.0,0.0,0.0,6.0,2.0,83.0,False
,0.0,49.0,1.0,0.0,0.0,0.0,8.0,2.0,73.0,True
